Country,Indicator,Value
Seychelles,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),74
Seychelles,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),26
Seychelles,Gross Domestic Product (GDP) per Capita in PPP Int$,"30,310"
Seychelles,Government schemes and compulsory contributory health care financing schemes,60
Seychelles,Voluntary health care payment schemes,2
Seychelles,Household out-of-pocket payment,19
Sierra Leone,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),16
Sierra Leone,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),10
Sierra Leone,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Sierra Leone,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),21
Sierra Leone,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),21
Sierra Leone,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),64
Sierra Leone,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,602"
Sierra Leone,Government schemes and compulsory contributory health care financing schemes,137
Sierra Leone,Voluntary health care payment schemes,129
Sierra Leone,Household out-of-pocket payment,294
South Africa,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
South Africa,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),54
South Africa,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),8
South Africa,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
South Africa,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
South Africa,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),57
South Africa,Gross Domestic Product (GDP) per Capita in PPP Int$,"13,684"
South Africa,Government schemes and compulsory contributory health care financing schemes,"13,102"
South Africa,Voluntary health care payment schemes,"14,947"
South Africa,Household out-of-pocket payment,"2,348"
South Sudan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
South Sudan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),11
South Sudan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),22
South Sudan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),11
South Sudan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),11
South Sudan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),89
South Sudan,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,778"
South Sudan,Government schemes and compulsory contributory health care financing schemes,32
South Sudan,Voluntary health care payment schemes,198
South Sudan,Household out-of-pocket payment,65
Togo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Togo,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),17
Togo,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),56
Togo,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),31
Togo,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),28
Togo,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),69
Togo,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,774"
Togo,Government schemes and compulsory contributory health care financing schemes,101
Togo,Voluntary health care payment schemes,43
Togo,Household out-of-pocket payment,186
Uganda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Uganda,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),16
Uganda,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),38
Uganda,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),20
Uganda,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),20
Uganda,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),80
Uganda,Gross Domestic Product (GDP) per Capita in PPP Int$,"2,135"
Uganda,Government schemes and compulsory contributory health care financing schemes,368
Uganda,Voluntary health care payment schemes,768
Uganda,Household out-of-pocket payment,708
United Republic of Tanzania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
United Republic of Tanzania,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),43
United Republic of Tanzania,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),24
United Republic of Tanzania,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),70
United Republic of Tanzania,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),62
United Republic of Tanzania,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),30
United Republic of Tanzania,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,099"
United Republic of Tanzania,Government schemes and compulsory contributory health care financing schemes,"1,453"
United Republic of Tanzania,Voluntary health care payment schemes,124
United Republic of Tanzania,Household out-of-pocket payment,497
Zambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Zambia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),39
Zambia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),10
Zambia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),60
Zambia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),60
Zambia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),40
Zambia,Gross Domestic Product (GDP) per Capita in PPP Int$,"4,224"
Zambia,Government schemes and compulsory contributory health care financing schemes,787
Zambia,Voluntary health care payment schemes,400
Zambia,Household out-of-pocket payment,132
Zimbabwe,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Zimbabwe,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),28
Zimbabwe,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),24
Zimbabwe,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),28
Zimbabwe,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),28
Zimbabwe,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),72
Zimbabwe,Gross Domestic Product (GDP) per Capita in PPP Int$,"4,183"
Zimbabwe,Government schemes and compulsory contributory health care financing schemes,567
Zimbabwe,Voluntary health care payment schemes,966
Zimbabwe,Household out-of-pocket payment,493
Antigua and Barbuda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Antigua and Barbuda,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),56
Antigua and Barbuda,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Antigua and Barbuda,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),56
Antigua and Barbuda,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),28
Antigua and Barbuda,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),44
Antigua and Barbuda,Gross Domestic Product (GDP) per Capita in PPP Int$,"26,871"
Antigua and Barbuda,Government schemes and compulsory contributory health care financing schemes,47
Antigua and Barbuda,Voluntary health care payment schemes,13
Antigua and Barbuda,Household out-of-pocket payment,25
Argentina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Argentina,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),61
Argentina,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),28
Argentina,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),62
Argentina,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),24
Argentina,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),38
Argentina,Gross Domestic Product (GDP) per Capita in PPP Int$,"20,673"
Argentina,Government schemes and compulsory contributory health care financing schemes,"30,874"
Argentina,Voluntary health care payment schemes,"5,286"
Argentina,Household out-of-pocket payment,"13,875"
Bahamas,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Bahamas,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),50
Bahamas,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),27
Bahamas,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),40
Bahamas,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),34
Bahamas,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),60
Bahamas,Gross Domestic Product (GDP) per Capita in PPP Int$,"32,089"
Bahamas,Government schemes and compulsory contributory health care financing schemes,309
Bahamas,Voluntary health care payment schemes,256
Bahamas,Household out-of-pocket payment,211
Barbados,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Barbados,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),45
Barbados,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),47
Barbados,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),46
Barbados,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),46
Barbados,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),54
Barbados,Gross Domestic Product (GDP) per Capita in PPP Int$,"18,343"
Barbados,Government schemes and compulsory contributory health care financing schemes,153
Barbados,Voluntary health care payment schemes,26
Barbados,Household out-of-pocket payment,155
Belize,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Belize,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),69
Belize,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),23
Belize,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),69
Belize,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),61
Belize,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),31
Belize,Gross Domestic Product (GDP) per Capita in PPP Int$,"8,897"
Belize,Government schemes and compulsory contributory health care financing schemes,76
Belize,Voluntary health care payment schemes,9
Belize,Household out-of-pocket payment,25
Bolivia Plurinational States of ,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Bolivia Plurinational States of ,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),71
Bolivia Plurinational States of ,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),23
Bolivia Plurinational States of ,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),72
Bolivia Plurinational States of ,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),42
Bolivia Plurinational States of ,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),28
Bolivia Plurinational States of ,Gross Domestic Product (GDP) per Capita in PPP Int$,"7,873"
Bolivia Plurinational States of ,Government schemes and compulsory contributory health care financing schemes,"1,840"
Bolivia Plurinational States of ,Voluntary health care payment schemes,111
Bolivia Plurinational States of ,Household out-of-pocket payment,588
Brazil,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Brazil,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),42
Brazil,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),28
Brazil,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),42
Brazil,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),42
Brazil,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),58
Brazil,Gross Domestic Product (GDP) per Capita in PPP Int$,"16,090"
Brazil,Government schemes and compulsory contributory health care financing schemes,"74,204"
Brazil,Voluntary health care payment schemes,"54,559"
Brazil,Household out-of-pocket payment,"48,948"
Canada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),11
Canada,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),73
Canada,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),15
Canada,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),70
Canada,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),69
Canada,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),30
Canada,Gross Domestic Product (GDP) per Capita in PPP Int$,"48,190"
Canada,Government schemes and compulsory contributory health care financing schemes,"130,283"
Canada,Voluntary health care payment schemes,"27,626"
Canada,Household out-of-pocket payment,"27,275"
Chile,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Chile,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),51
Chile,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),33
Chile,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),60
Chile,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),1
Chile,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),40
Chile,Gross Domestic Product (GDP) per Capita in PPP Int$,"25,225"
Chile,Government schemes and compulsory contributory health care financing schemes,"16,447"
Chile,Voluntary health care payment schemes,"1,754"
Chile,Household out-of-pocket payment,"9,061"
Colombia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Colombia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),72
Colombia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),15
Colombia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),77
Colombia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),3
Colombia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),23
Colombia,Gross Domestic Product (GDP) per Capita in PPP Int$,"15,124"
Colombia,Government schemes and compulsory contributory health care financing schemes,"19,690"
Colombia,Voluntary health care payment schemes,"1,938"
Colombia,Household out-of-pocket payment,"3,856"
Costa Rica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Costa Rica,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),72
Costa Rica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),22
Costa Rica,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),74
Costa Rica,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),4
Costa Rica,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),26
Costa Rica,Gross Domestic Product (GDP) per Capita in PPP Int$,"17,671"
Costa Rica,Government schemes and compulsory contributory health care financing schemes,"3,357"
Costa Rica,Voluntary health care payment schemes,171
Costa Rica,Household out-of-pocket payment,"1,019"
Cuba,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),11
Cuba,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),89
Cuba,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
Cuba,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),89
Cuba,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),89
Cuba,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),11
Cuba,Gross Domestic Product (GDP) per Capita in PPP Int$,"22,519"
Cuba,Government schemes and compulsory contributory health care financing schemes,"9,952"
Cuba,Voluntary health care payment schemes,6
Cuba,Household out-of-pocket payment,"1,232"
Dominica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Dominica,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),65
Dominica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),32
Dominica,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),65
Dominica,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),65
Dominica,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),35
Dominica,Gross Domestic Product (GDP) per Capita in PPP Int$,"10,775"
Dominica,Government schemes and compulsory contributory health care financing schemes,23
Dominica,Voluntary health care payment schemes,1
Dominica,Household out-of-pocket payment,11
Dominican Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Dominican Republic,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),44
Dominican Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Dominican Republic,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),44
Dominican Republic,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),20
Dominican Republic,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),56
Dominican Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,"17,748"
Dominican Republic,Government schemes and compulsory contributory health care financing schemes,"2,174"
Dominican Republic,Voluntary health care payment schemes,536
Dominican Republic,Household out-of-pocket payment,"2,195"
Ecuador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Ecuador,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),52
Ecuador,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),40
Ecuador,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),52
Ecuador,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),30
Ecuador,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),48
Ecuador,Gross Domestic Product (GDP) per Capita in PPP Int$,"11,734"
Ecuador,Government schemes and compulsory contributory health care financing schemes,"4,615"
Ecuador,Voluntary health care payment schemes,690
Ecuador,Household out-of-pocket payment,"3,514"
El Salvador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
El Salvador,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),64
El Salvador,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
El Salvador,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),65
El Salvador,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),35
El Salvador,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),35
El Salvador,Gross Domestic Product (GDP) per Capita in PPP Int$,"8,332"
El Salvador,Government schemes and compulsory contributory health care financing schemes,"1,211"
El Salvador,Voluntary health care payment schemes,109
El Salvador,Household out-of-pocket payment,533
Grenada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Grenada,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),38
Grenada,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),54
Grenada,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),41
Grenada,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),41
Grenada,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),59
Grenada,Gross Domestic Product (GDP) per Capita in PPP Int$,"15,543"
Grenada,Government schemes and compulsory contributory health care financing schemes,22
Grenada,Voluntary health care payment schemes,2
Grenada,Household out-of-pocket payment,29
Guatemala,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Guatemala,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),36
Guatemala,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),58
Guatemala,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),35
Guatemala,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),19
Guatemala,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),65
Guatemala,Gross Domestic Product (GDP) per Capita in PPP Int$,"8,462"
Guatemala,Government schemes and compulsory contributory health care financing schemes,"1,569"
Guatemala,Voluntary health care payment schemes,334
Guatemala,Household out-of-pocket payment,"2,575"
Guyana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Guyana,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),62
Guyana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),32
Guyana,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),62
Guyana,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),60
Guyana,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),38
Guyana,Gross Domestic Product (GDP) per Capita in PPP Int$,"8,641"
Guyana,Government schemes and compulsory contributory health care financing schemes,144
Guyana,Voluntary health care payment schemes,12
Guyana,Household out-of-pocket payment,74
Haiti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Haiti,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),12
Haiti,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),44
Haiti,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),13
Haiti,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),12
Haiti,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),87
Haiti,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,867"
Haiti,Government schemes and compulsory contributory health care financing schemes,95
Haiti,Voluntary health care payment schemes,309
Haiti,Household out-of-pocket payment,311
Honduras,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Honduras,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),40
Honduras,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),51
Honduras,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),42
Honduras,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),30
Honduras,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),58
Honduras,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,139"
Honduras,Government schemes and compulsory contributory health care financing schemes,717
Honduras,Voluntary health care payment schemes,107
Honduras,Household out-of-pocket payment,865
Jamaica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Jamaica,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),65
Jamaica,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),17
Jamaica,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),66
Jamaica,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),58
Jamaica,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),34
Jamaica,Gross Domestic Product (GDP) per Capita in PPP Int$,"9,224"
Jamaica,Government schemes and compulsory contributory health care financing schemes,620
Jamaica,Voluntary health care payment schemes,162
Jamaica,Household out-of-pocket payment,161
Mexico,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Mexico,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),50
Mexico,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),42
Mexico,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),50
Mexico,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),23
Mexico,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),50
Mexico,Gross Domestic Product (GDP) per Capita in PPP Int$,"19,845"
Mexico,Government schemes and compulsory contributory health care financing schemes,"32,698"
Mexico,Voluntary health care payment schemes,"5,286"
Mexico,Household out-of-pocket payment,"27,585"
Nicaragua,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Nicaragua,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),60
Nicaragua,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),33
Nicaragua,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),64
Nicaragua,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),38
Nicaragua,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),36
Nicaragua,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,534"
Nicaragua,Government schemes and compulsory contributory health care financing schemes,715
Nicaragua,Voluntary health care payment schemes,39
Nicaragua,Household out-of-pocket payment,370
Panama,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Panama,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),64
Panama,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Panama,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),64
Panama,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),33
Panama,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),36
Panama,Gross Domestic Product (GDP) per Capita in PPP Int$,"25,554"
Panama,Government schemes and compulsory contributory health care financing schemes,"3,048"
Panama,Voluntary health care payment schemes,322
Panama,Household out-of-pocket payment,"1,357"
Paraguay,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Paraguay,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),44
Paraguay,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Paraguay,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),44
Paraguay,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),28
Paraguay,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),56
Paraguay,Gross Domestic Product (GDP) per Capita in PPP Int$,"14,056"
Paraguay,Government schemes and compulsory contributory health care financing schemes,"1,221"
Paraguay,Voluntary health care payment schemes,302
Paraguay,Household out-of-pocket payment,"1,262"
Peru,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Peru,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),63
Peru,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Peru,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),63
Peru,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),34
Peru,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),37
Peru,Gross Domestic Product (GDP) per Capita in PPP Int$,"14,636"
Peru,Government schemes and compulsory contributory health care financing schemes,"7,445"
Peru,Voluntary health care payment schemes,919
Peru,Household out-of-pocket payment,"3,442"
Saint Kitts and Nevis,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Saint Kitts and Nevis,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),47
Saint Kitts and Nevis,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),49
Saint Kitts and Nevis,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),47
Saint Kitts and Nevis,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),46
Saint Kitts and Nevis,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),53
Saint Kitts and Nevis,Gross Domestic Product (GDP) per Capita in PPP Int$,"29,287"
Saint Kitts and Nevis,Government schemes and compulsory contributory health care financing schemes,24
Saint Kitts and Nevis,Voluntary health care payment schemes,3
Saint Kitts and Nevis,Household out-of-pocket payment,25
Saint Lucia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Saint Lucia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),47
Saint Lucia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),46
Saint Lucia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),48
Saint Lucia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),45
Saint Lucia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),52
Saint Lucia,Gross Domestic Product (GDP) per Capita in PPP Int$,"13,881"
Saint Lucia,Government schemes and compulsory contributory health care financing schemes,40
Saint Lucia,Voluntary health care payment schemes,5
Saint Lucia,Household out-of-pocket payment,39
Saint Vincent and the Grenadines,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Saint Vincent and the Grenadines,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),68
Saint Vincent and the Grenadines,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),28
Saint Vincent and the Grenadines,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),69
Saint Vincent and the Grenadines,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),69
